Car_ID,BrandName,Type,Transmission,Price,LuggageSize,Record_ID,SeatNumber,ReleaseYear
14806,LAND ROVER,4D WAGON,6A,83650,8,,7,2006
14810,LAND ROVER,4D WAGON,4A4x4,51800,4,,5,1996
14811,LAND ROVER,3D HARDBACK,5M4x4,34886,4,,5,2000
14812,LAND ROVER,4D WAGON,4A,66000,7,,7,1999
14813,LAND ROVER,4D WAGON,4A4x4,50430,5,,5,1994
14814,LAND ROVER,4D WAGON,4A,71450,1,,7,2004
14815,LAND ROVER,2D HARDTOP,4M4x4,9045,7,,8,1978
14816,LAND ROVER,4D WAGON,4A,55450,3,,7,2003
14817,LAND ROVER,4D WAGON,5M,51950,1,,5,2003
14818,LAND ROVER,4D WAGON,5M4x4,39990,4,,5,1998
14819,LAND ROVER,2D HARDTOP,4M4x4,5203,8,,12,1972
14831,BMW,4D WAGON,6A,84500,2,,5,2004
14832,BMW,4D SEDAN,5AS,56550,8,,5,2002
14833,BMW,4D SEDAN,5M,62550,5,,5,1996
14834,BMW,2D CONVERTIBLE,5AS,109050,6,,5,2001
14835,BMW,4D SEDAN,4A,136500,1,,5,1987
14836,BMW,4D SEDAN,6AS,89000,2,,5,2005
14837,BMW,4D WAGON,6AS,71500,5,,5,2006
14838,BMW,4D SEDAN,5A,98200,5,3,5,1996
14839,BMW,3D HATCHBACK,5M,46200,1,,5,1995
14842,BMW,4D SEDAN,6AS,57200,6,1,5,2005
14843,BMW,4D SEDAN,5AS,90700,7,,5,2001
14846,BMW,4D WAGON,5AS,84000,8,,5,2004
14847,BMW,4D SEDAN,4A,56600,8,,5,1998
14850,BMW,4D SEDAN,4A,59500,8,,5,1984
14851,BMW,4D SEDAN,5AS,65300,3,,5,2005
14852,BMW,3D HATCHBACK,5AS,43869,1,,5,2002
14853,BMW,5D HATCHBACK,6A,44100,1,,5,2005
14854,BMW,4D SEDAN,5M,54700,6,,5,1989
14855,BMW,2D COUPE,5AS,67050,7,,5,2001
14856,BMW,4D SEDAN,4A,74500,4,,5,1988
14857,BMW,4D SEDAN,5M,54500,2,,5,2005
14858,BMW,4D SEDAN,5A,83330,1,,5,1996
14859,BMW,4D SEDAN,5AS,96500,8,,5,1997
14860,BMW,4D SEDAN,4A,51320,3,,5,1997
14861,BMW,4D SEDAN,5M,55100,3,,5,1997
14862,BMW,4D SEDAN,5M,53950,1,,5,2001
14863,BMW,4D WAGON,5AS,82350,5,,5,2001
14864,BMW,5D HATCHBACK,6A,47800,5,,5,2006
14865,BMW,4D SEDAN,5M,52070,1,,5,2000
14866,BMW,4D WAGON,5AS,84000,1,,5,2006
14867,BMW,4D SEDAN,5M,49650,8,,5,1995
14870,BMW,2D COUPE,5M,73900,5,,5,1999
14871,BMW,4D WAGON,6A,86800,8,,5,2006
14872,BMW,4D SEDAN,5M,54370,8,,5,1999
14873,BMW,2D COUPE,4A,57110,6,,5,1996
14874,BMW,3D HATCHBACK,5M,41750,1,,5,2004
14875,BMW,2D SEDAN,5M,36950,6,,5,1989
14876,BMW,4D SEDAN,5M,46500,7,,5,1994
14877,BMW,4D SEDAN,6AS,53400,8,,5,2006
14878,BMW,4D SEDAN,5AS,83600,1,,5,1996
14879,BMW,4D SEDAN,5AS,101400,6,,5,2002
14880,BMW,4D SEDAN,5A,69100,2,,5,1991
14881,BMW,4D SEDAN,4A,44300,5,,5,1991
14882,BMW,4D SEDAN,5M,48315,3,,5,2000
14883,BMW,4D SEDAN,5M,38600,8,,5,1986
14884,BMW,2D COUPE,5M,58950,4,,5,1998
14885,BMW,4D SEDAN,4A,145900,6,,5,1988
14886,NULL,NULL,NULL,NULL,2,,NULL,NULL
14887,BMW,4D SEDAN,5M,80200,4,,5,1991
14888,BMW,2D COUPE,5AS,75000,3,,5,2002
14889,BMW,3D HATCHBACK,5M,40350,2,,5,2005
14890,BMW,4D WAGON,6A,84300,8,,5,2005
14891,DATSUN,2D ROADSTER,4M,2530,7,,0,1964
14892,NULL,NULL,NULL,NULL,4,,NULL,NULL
14894,NULL,NULL,NULL,NULL,1,,NULL,NULL
14895,DATSUN,2D HARDTOP,5M,6012,8,,5,1977
14896,MAZDA,5D HATCHBACK,5M,19050,8,,5,2001
14897,MAZDA,4D SEDAN,5M,14200,4,,5,1997
14899,MAZDA,5D HATCHBACK,5M,19240,1,,5,2002
14900,MAZDA,3D HATCHBACK,5M,12250,8,,5,1987
14901,MAZDA,5D HATCHBACK,4A,19590,1,,5,1999
14902,VOLKSWAGEN,VAN,6ATip,42990,2,,5,2008
14903,VOLKSWAGEN,4D SEDAN,6M,35490,4,,5,2006
14904,VOLKSWAGEN,VAN,6ATip,43400,4,,2,2005
14905,VOLKSWAGEN,3D HATCHBACK,5M,16990,2,,5,2007
14906,VOLKSWAGEN,4D SEDAN,6ADSG,39990,7,,5,2006
14907,VOLKSWAGEN,4D VAN,6ATip,72990,3,,7,2006
14908,VOLKSWAGEN,4D SEDAN,6ADSG,39990,1,,5,2007
14909,VOLKSWAGEN,5D HATCHBACK,6M,39990,8,,5,2007
14910,VOLKSWAGEN,5D HATCHBACK,5M,25990,5,,5,2001
14911,VOLKSWAGEN,5D HATCHBACK,6ADSG,32290,8,,5,2005
14912,VOLKSWAGEN,4D SEDAN,6ATip,35290,6,,5,2007
14914,VOLKSWAGEN,5D HATCHBACK,6ADSG,37290,7,,5,2007
14915,VOLKSWAGEN,5D HATCHBACK,5M,30490,3,,5,1995
14920,VOLKSWAGEN,4D SEDAN,6ADSG,37990,4,,5,2007
14921,VOLKSWAGEN,5D HATCHBACK,6ATip,32290,2,,5,2005
14922,VOLKSWAGEN,5D HATCHBACK,6M,32490,4,,5,2007
14923,VOLKSWAGEN,4D WAGON,5ATip,49800,3,,5,2002
14924,VOLKSWAGEN,5D HATCHBACK,6M,32990,5,,5,2006
14925,VOLKSWAGEN,5D HATCHBACK,5M,34990,1,,5,1999
14926,VOLKSWAGEN,5D HATCHBACK,4A,31980,1,,5,1998
14927,VOLKSWAGEN,4D VAN,6M,60990,5,,7,2006
14928,VOLKSWAGEN,5D HATCHBACK,5M,21800,4,,5,2002
14929,VOLKSWAGEN,4D WAGON,6ATip,78600,7,,5,2006
14930,VOLKSWAGEN,4D WAGON,6ADSG,34990,5,,5,2006
14940,VOLKSWAGEN,5D HATCHBACK,6M,32490,1,,5,2004
14941,VOLKSWAGEN,4D SEDAN,5M,36350,2,,5,2001
14942,VOLKSWAGEN,3D HATCHBACK,5M,16990,2,,5,2006
14943,VOLKSWAGEN,VAN,5M,24990,7,,2,2006
14944,VOLKSWAGEN,3D HATCHBACK,5M,19800,1,,5,2003
14945,VOLKSWAGEN,5D HATCHBACK,5M,25990,7,,5,2004
14946,VOLKSWAGEN,3D HATCHBACK,5M,26990,8,,5,2007
14947,VOLKSWAGEN,5D HATCHBACK,4A,31190,1,,5,1999
14948,VOLKSWAGEN,5D HATCHBACK,6ADSG,34790,2,,5,2006
14949,VOLKSWAGEN,5D HATCHBACK,5M,25990,4,,5,2000
14950,VOLKSWAGEN,5D HATCHBACK,5M,25490,7,,5,2005
14960,VOLKSWAGEN,4D SEDAN,6ATip,44990,4,,5,2006
14961,VOLKSWAGEN,4D WAGON,6ATip,78600,5,,5,2005
14962,VOLKSWAGEN,4D SEDAN,6ADSG,54990,8,,5,2006
14963,NULL,NULL,NULL,NULL,5,,NULL,NULL
14964,VOLKSWAGEN,5D HATCHBACK,5M,29490,5,,5,2002
14965,VOLKSWAGEN,4D WAGON,4A,59990,7,,8,2003
14966,VOLKSWAGEN,5D HATCHBACK,4A,29490,1,,5,2004
14967,VOLKSWAGEN,5D HATCHBACK,5M,21490,2,,5,1999
14969,VOLKSWAGEN,2D SEDAN,4M,3798,1,,4,1975
14984,ALFA ROMEO,2D COUPE,5M,61990,5,,4,1999
14985,ALFA ROMEO,4D SEDAN,6M,57500,8,,5,2002
14988,NULL,NULL,NULL,NULL,4,,NULL,NULL
15000,ALFA ROMEO,3D HATCHBACK,6M,59990,5,,5,2005
15001,ALFA ROMEO,4D SEDAN,5MSel,49950,4,,5,1999
15002,ALFA ROMEO,5D HATCHBACK,5M,39500,3,,5,2003
15003,MERCEDES-BENZ,2D CONVERTIBLE,5ATS,86900,2,,2,2004
15004,MERCEDES-BENZ,4D WAGON,5ATS,69474,4,,5,2002
15005,MERCEDES-BENZ,4D WAGON,5ATS,77274,1,,5,2002
15006,MERCEDES-BENZ,4D SEDAN,5ATS,61400,7,,5,2002
15007,MERCEDES-BENZ,4D WAGON,5ATS,72900,3,,5,2000
15008,MERCEDES-BENZ,2D CONVERTIBLE,5A,95380,7,,2,2000
15009,MERCEDES-BENZ,4D WAGON,5ATS,99900,1,,5,2004
15010,MERCEDES-BENZ,4D WAGON,4A,124500,6,,7,1991
15011,MERCEDES-BENZ,4D SEDAN,5A,64580,4,,5,2000
15020,MERCEDES-BENZ,4D SEDAN,4A,55979,2,,5,1982
15021,NULL,NULL,NULL,NULL,1,,NULL,NULL
15022,MERCEDES-BENZ,4D WAGON,5ATS,73400,7,,5,1999
15023,MERCEDES-BENZ,4D WAGON,5ATS,77274,8,,5,2003
15024,MERCEDES-BENZ,4D SEDAN,5ASeq,112400,1,,5,1999
15025,MERCEDES-BENZ,5D VAN,5A,48380,4,,5,2005
15026,MERCEDES-BENZ,4D SEDAN,4A,47115,1,,5,1993
15027,MERCEDES-BENZ,5D HATCHBACK,5MSeq,41400,4,,5,1999
15028,MERCEDES-BENZ,4D WAGON,5ATS,64900,4,,5,2001
15029,MERCEDES-BENZ,5D HATCHBACK,CVT7,42400,3,,5,2006
15030,MERCEDES-BENZ,4D SEDAN,4A,79296,6,,5,1986
15040,MERCEDES-BENZ,4D SEDAN,4A,87100,2,,5,1988
15041,MERCEDES-BENZ,4D SEDAN,4A,45690,5,,5,1992
15042,MERCEDES-BENZ,4D SEDAN,5ATSh,225600,2,,5,2006
15043,MERCEDES-BENZ,4D SEDAN,4A,68795,6,,5,1982
15044,MERCEDES-BENZ,5D HATCHBACK,5MSeq,42900,5,,5,2004
15045,MERCEDES-BENZ,4D SEDAN,4A,47115,4,,5,1994
15046,MERCEDES-BENZ,5D HATCHBACK,5MSeq,41230,1,,5,2001
15047,MERCEDES-BENZ,2D CABRIOLET,5A,111580,8,,4,2000
15048,MERCEDES-BENZ,5D HATCHBACK,5MSeq,41230,5,,5,2000
15049,MERCEDES-BENZ,4D WAGON,5ATS,98500,4,,5,2001
15050,MERCEDES-BENZ,4D SEDAN,5ATSh,153900,7,,5,2002
15063,RENAULT,3D HATCHBACK,5M,33990,1,,5,2002
15066,RENAULT,5D HATCHBACK,5M,18990,6,,5,2006
15068,RENAULT,5D WAGON,4A,37990,6,,5,2003
15080,RENAULT,5D HATCHBACK,5M,26790,2,,5,1995
15081,RENAULT,4D SEDAN,4A,35990,1,,5,2004
15082,RENAULT,2D CABRIOLET,5M,41490,6,,4,2002
15083,VOLVO,4D SEDAN,5A,56950,1,,5,2006
15084,VOLVO,4D WAGON,5AG,47950,6,,5,2008
15085,VOLVO,4D SEDAN,4A,65900,7,,5,1989
15087,VOLVO,4D SEDAN,4A,45690,6,,5,1992
15088,VOLVO,4D WAGON,5AG,64450,7,,5,2005
15089,VOLVO,4D WAGON,5AG,47950,5,,5,2007
15100,VOLVO,4D SEDAN,5A,47950,8,,5,2003
15101,VOLVO,4D SEDAN,5A,47950,7,,5,2001
15102,VOLVO,4D SEDAN,4A,47950,2,,5,1994
15103,VOLVO,4D SEDAN,4AG,98950,4,,5,2001
15104,VOLVO,5D WAGON,4A,59950,2,,5,1997
15105,VOLVO,5D WAGON,4A,45950,1,,5,1997
15106,VOLVO,4D SEDAN,4A,44950,3,,5,1997
15107,VOLVO,4D WAGON,5AG,69950,3,,7,2006
15108,VOLVO,4D SEDAN,5M,53450,4,,5,1998
15109,VOLVO,4D HATCHBACK,4A,40950,3,,5,1994
15110,VOLVO,4D SEDAN,3A,11220,1,,5,1979
15119,VOLVO,4D HATCHBACK,4A,45500,2,,5,1996
15121,VOLVO,4D SEDAN,5AG,54950,4,,5,2006
15122,NISSAN,2D COUPE,6M,42990,4,,4,2002
15123,NISSAN,2D COUPE,5M,38500,1,,4,1994
15124,NISSAN,2D COUPE,5M,44510,4,,4,1996
15125,NISSAN,2D COUPE,6M,40990,6,,4,2002
15126,NISSAN,2D COUPE,6M,46490,3,,4,2002
15127,NISSAN,2D COUPE,5M,39990,3,,4,1998
15128,NISSAN,2D COUPE,6M,40990,1,,4,2001
15129,NISSAN,2D COUPE,5M,49995,6,,4,1998
15130,PEUGEOT,3D HATCHBACK,5M,33750,7,,5,1990
15140,PEUGEOT,4D SEDAN,5M,39995,7,2,5,1997
15142,PEUGEOT,4D SEDAN,5M,41995,4,,5,1993
15143,PEUGEOT,5D HATCHBACK,5M,29490,8,,5,2000
15144,PEUGEOT,5D HATCHBACK,5M,22990,7,,5,2001
15145,NULL,NULL,NULL,NULL,3,,NULL,NULL
15146,PEUGEOT,3D HATCHBACK,5M,29990,2,,5,2004
15147,PEUGEOT,2D COUPE,5M,69550,1,,4,2004
15148,PEUGEOT,2D CABRIOLET,5M,32990,6,,4,2005
15149,PEUGEOT,5D HATCHBACK,5M,31790,8,,5,2003
15150,PEUGEOT,5D HATCHBACK,5M,19990,3,,5,2002
15160,PEUGEOT,4D SEDAN,5M,34995,8,,5,1992
15161,PEUGEOT,5D HATCHBACK,6M,32290,3,,5,2006
15162,PEUGEOT,5D HATCHBACK,5M,22450,3,,5,2000
15163,PEUGEOT,5D HATCHBACK,5M,37990,6,,5,2005
15165,PEUGEOT,2D CABRIOLET,4ATip,34990,6,,4,2006
15166,PEUGEOT,5D HATCHBACK,4ATip,33990,4,,5,2004
15167,PEUGEOT,5D HATCHBACK,5M,22990,4,,5,2006
15168,PEUGEOT,5D HATCHBACK,5M,19990,6,,5,2004
15169,PEUGEOT,4D WAGON,6M,33990,4,,5,2006
15181,PEUGEOT,3D HATCHBACK,5M,21990,3,,5,2003
15184,EUNOS,4D SEDAN,4A,85165,1,,5,1996
15186,EUNOS,2D COUPE,5M,37155,2,,4,1996
15199,CHRYSLER,4D SEDAN,3A,8014,4,,5,1979
15200,CHRYSLER,4D SEDAN,5A,57990,8,,5,2006
15201,CHRYSLER,4D WAGON,4A,52590,7,,7,2002
15202,CHRYSLER,2D CONVERTIBLE,5ASeq,75990,8,,2,2005
15203,CHRYSLER,4D WAGON,4A,48200,1,,7,1999
15204,CHRYSLER,5D HATCHBACK,4A,31990,6,,5,2005
15205,CHRYSLER,5D HATCHBACK,5M,35200,7,,5,2001
15206,NULL,NULL,NULL,NULL,1,,NULL,NULL
15207,CHRYSLER,4D SEDAN,5A,71990,5,,5,2006
15208,CHRYSLER,4D WAGON,4A,59090,8,,7,2004
15209,CHRYSLER,4D SEDAN,3A,24880,7,,5,1997
15210,CHRYSLER,5D HATCHBACK,4A,32490,7,,5,2004
15220,CHRYSLER,4D WAGON,4A,62980,8,,7,2004
15221,CHRYSLER,5D HATCHBACK,4A,38490,4,,5,2004
15222,CHRYSLER,4D WAGON,4A,46900,3,,7,2001
15223,MAZDA,4D SEDAN,5M,20990,8,,5,1999
15224,MAZDA,5D HATCHBACK,5M,35700,3,,5,1997
15225,MAZDA,5D HATCHBACK,5M,20490,2,,5,2001
15226,MAZDA,4D WAGON,5M,8835,8,,4,1983
15227,MAZDA,4D SEDAN,5M,19715,2,,5,2000
15228,MAZDA,4D SEDAN,5M,22915,2,,5,1997
15229,MAZDA,5D HATCHBACK,4A,31050,8,,5,1995
15230,MAZDA,4D SEDAN,5M,22915,8,,5,1998
15240,MAZDA,4D SEDAN,5M,19715,7,,5,2000
15241,MAZDA,5D HATCHBACK,5M,25715,3,,5,1993
15242,MAZDA,5D HATCHBACK,5M,19715,3,,5,2000
15243,MAZDA,5D HATCHBACK,5M,38270,2,,5,1996
15244,MAZDA,5D HATCHBACK,4A,28480,7,,5,1998
15245,MAZDA,5D HATCHBACK,4A,20210,5,,5,1989
15246,MAZDA,4D SEDAN,4A,21840,2,,5,2003
15247,MAZDA,5D HATCHBACK,4A,21840,7,,5,2003
15248,MAZDA,5D HATCHBACK,3A,19390,1,,5,1988
15249,MAZDA,5D HATCHBACK,5M,26990,3,,5,1998
15250,MAZDA,5D HATCHBACK,5M,30085,6,,5,1994
15259,MAZDA,5D HATCHBACK,5M,15826,4,,5,1985
15260,MAZDA,5D HATCHBACK,5M,29180,4,,5,2002
15261,MAZDA,4D SEDAN,5M,20695,6,,5,2002
15263,MAZDA,4D SEDAN,5M,19990,3,,5,2003
15264,MAZDA,4D SEDAN,5M,26990,8,,5,2002
15280,MITSUBISHI,4D SEDAN,5ASPM,35990,4,,5,2005
15282,TOYOTA,4D WAGON,5M4x4,28200,8,,5,1989
15284,TOYOTA,4D WAGON,4A4x4,36954,8,,5,1992
15297,MAZDA,5D HATCHBACK,5M,31070,7,,5,2000
15300,MAZDA,4D SEDAN,4A,31980,8,,5,2002
15301,MAZDA,5D HATCHBACK,4A,37290,5,,5,1999
15302,MAZDA,4D SEDAN,4A,31335,3,,5,1994
15303,MAZDA,4D SEDAN,5M,30180,8,,5,1998
15304,MAZDA,4D SEDAN,4A,32430,5,,5,1999
15305,MAZDA,5D HATCHBACK,4A,32900,2,,5,2001
15306,MAZDA,4D SEDAN,5M,30160,8,,5,2000
15307,AUDI,4D SEDAN,CVTM,50650,6,,5,2002
15308,AUDI,5D HATCHBACK,6ADSG,47750,6,,5,2005
15309,AUDI,4D SEDAN,5M,42245,1,,5,1990
15310,AUDI,4D SEDAN,CVTM,50450,2,,5,2007
15316,AUDI,2D COUPE,5M,73000,2,,4,1999
15317,AUDI,4D SEDAN,4A,51320,3,,5,1996
15321,AUDI,4D WAGON,CVTM6,54250,7,,5,2003
15322,AUDI,4D WAGON,5ATip,99250,7,,5,2001
15323,AUDI,5D HATCHBACK,5M,35400,7,,5,2003
15324,AUDI,3D HATCHBACK,6M,65850,6,,5,2000
15325,AUDI,5D HATCHBACK,6ADSG,47750,7,,5,2006
15326,AUDI,3D HATCHBACK,4A,42450,3,,5,1999
15327,AUDI,5D HATCHBACK,5M,44950,4,,5,2004
15328,AUDI,2D ROADSTER,6M,92500,6,,2,2004
15329,AUDI,5D HATCHBACK,5M,38700,2,,5,2002
15330,AUDI,4D SEDAN,CVTM6,80900,1,,5,2003
15340,SAAB,4D WAGON,5A,53400,1,,5,2007
15341,SAAB,4D SEDAN,4A,67986,1,,5,2000
15342,SAAB,4D SEDAN,5A,56400,7,,5,2004
15343,SAAB,5D HATCHBACK,4A,64575,1,,5,2002
15344,SAAB,4D SEDAN,5AST,84900,7,,5,2004
15345,SAAB,5D HATCHBACK,4A,63900,1,,5,1996
15346,SAAB,2D CONVERTIBLE,4A,73000,4,,5,2003
15347,SAAB,4D HATCHBACK,4A,54900,4,,5,1998
15348,SAAB,5D HATCHBACK,5M,45900,2,,5,1994
15349,SAAB,4D SEDAN,4A,64000,1,,5,2001
15350,SAAB,2D CONVERTIBLE,5ASEN,93000,6,,4,2005
15357,SAAB,4D HATCHBACK,4A,79200,5,,5,1994
15360,SAAB,2D CONVERTIBLE,5M,80887,2,,5,2000
15361,SAAB,2D CONVERTIBLE,5M,63885,1,,4,2001
15362,SAAB,4D SEDAN,6M,67900,3,,5,2004
15363,SAAB,4D HATCHBACK,4A,52000,4,,5,1997
15364,SAAB,4D HATCHBACK,4A,50400,6,,5,1996
15365,SAAB,2D CONVERTIBLE,4A,65985,6,,4,2000
15366,SAAB,5D SEDAN,4A,62000,1,,5,1999
15367,SAAB,4D SEDAN,4A,46990,3,,5,1993
15368,MAZDA,4D SEDAN,5M,23010,7,,5,1987
15369,MAZDA,2D HARDTOP,4A,29600,2,,5,1986
15400,HONDA,4D SEDAN,5A,29990,1,,5,2005